model,K,loc,scale,color1,color2,n,timestamp
SLSN-II,0.0008168399116896537,-0.0925309580442964,0.4913880249067912,ztfr,ztfi,45,2026-03-26T21:34:51.703035
SN Iax,0.001223870864902403,-0.3475909002992276,0.3003812613483432,ztfg,ztfr,27,2026-03-26T21:36:03.542539
SN Ia-pec,0.0006785914251214355,-0.15084045071753088,0.1609356802962308,ztfg,ztfr,48,2026-03-26T21:37:13.419340
SN Ia-91T,0.0009071920658612384,-0.4836154028539882,0.19379707931639173,ztfr,ztfi,188,2026-03-26T21:39:38.628183
SN Ia-91bg,0.13329913171832264,-0.2582816325929437,0.2165159105641507,ztfg,ztfr,21,2026-03-26T21:40:03.228762
SN II,0.9395969129587043,-0.14032693737236385,0.22848217736150175,ztfg,ztfr,1453,2026-03-27T22:50:26.325225
SN Ib,0.9079106174117335,0.1250977286061127,0.1514897618587996,ztfg,ztfr,148,2026-04-14T11:58:24.970443
SN Ia-91bg,0.13329913171832264,-0.2582816325929437,0.2165159105641507,ztfg,ztfr,21,2026-04-14T11:58:59.616041
SN Ib,0.9023178525552071,0.1131761595694615,0.18450797918333717,ztfg,ztfr,1063,2026-04-14T15:50:00.698145
SN Ib,0.9079106174117335,0.1250977286061127,0.1514897618587996,ztfg,ztfr,148,2026-04-14T15:50:57.027188
SN Ia-91bg,0.13329913171832264,-0.2582816325929437,0.2165159105641507,ztfg,ztfr,21,2026-04-14T15:53:48.211990
SN II,0.9395969129587043,-0.14032693737236385,0.22848217736150175,ztfg,ztfr,1453,2026-04-14T15:56:11.433073
SN Ia-91T,0.0009071920658612384,-0.4836154028539882,0.19379707931639173,ztfr,ztfi,188,2026-04-14T15:59:44.224750
SN Ib/c,1.0268995726084778,0.09665564038058726,0.2080310937724685,ztfg,ztfr,453,2026-04-14T16:01:59.588411
SN Ia-pec,0.0006785914251214355,-0.15084045071753088,0.1609356802962308,ztfg,ztfr,48,2026-04-14T17:55:36.620250
SN IIP,0.602510399108125,-0.16388785008418136,0.21102028603801715,ztfg,ztfr,104,2026-04-14T18:00:56.850571
SN Iax,0.001223870864902403,-0.3475909002992276,0.3003812613483432,ztfg,ztfr,27,2026-04-14T18:01:43.737136
SN Ic,0.9740403563419746,0.10629429542012322,0.1986821886481783,ztfg,ztfr,244,2026-04-14T18:02:58.021797
SLSN-II,0.0008168399116896537,-0.0925309580442964,0.4913880249067912,ztfr,ztfi,45,2026-04-14T18:05:02.676430
SLSN-II,0.0008168399116896537,-0.0925309580442964,0.4913880249067912,ztfr,ztfi,45,2026-04-14T18:07:16.955740
