model,K,loc,scale,color1,color2,n,gold_nbr_models,gold_nbr_sne,silver_nbr_models,silver_nbr_sne,bronze_nbr_models,bronze_nbr_sne,timestamp
SN Ia-91T,0.0008847680987367087,-0.19420100985500788,0.3150598604180077,ztfr,ztfi,285,66,35,66,35,285,41,2026-06-18T14:57:15.497477
SN Ia-91bg,0.0009073837917552726,0.38084078632811985,0.29703039772738127,bessellb,bessellv,37,5,3,5,3,37,7,2026-06-18T17:03:06.837314
SN Ia-SC,0.0008605801663206908,-0.11771414508707279,0.2664986985497495,ztfr,ztfi,12,3,2,3,2,12,2,2026-06-18T17:06:21.900304
SN Ia-pec,0.0007939614290186774,-0.2204692511829989,0.3417434048028987,ztfr,ztfi,49,10,7,10,7,49,9,2026-06-18T15:08:07.706198
SN Iax,0.0008216590999333331,0.11958526170567445,0.2188443600878853,bessellb,bessellv,23,1,1,1,1,23,4,2026-06-18T17:02:30.307214
SLSN-I,0.0006817567833166669,-0.034103306605789446,0.46338393896509433,ztfr,ztfi,29,1,1,1,1,29,7,2026-06-18T15:09:56.392999
SLSN-II,0.0008946302455718903,0.12788643414755557,0.30225800329257413,ztfr,ztfi,14,6,4,6,4,15,5,2026-06-18T16:59:28.202309
SN IIn,1.7662783122888395,-0.15228514393552794,0.1633039695234142,bessellb,bessellv,99,25,13,25,13,99,23,2026-06-18T15:00:40.370606
SN II,1.9844174729310209,-0.19041650718642303,0.14636106068689497,bessellb,bessellv,988,455,136,455,136,988,200,2026-06-18T15:31:01.929713
SN IIP,1.9513772647484249,-0.21253881258167623,0.12407603337116255,bessellb,bessellv,72,31,8,31,8,72,14,2026-06-18T14:49:28.926383
SN IIb,0.5356155581822275,0.1427722156188142,0.3241389754639412,bessellb,bessellv,98,54,15,54,15,98,20,2026-06-18T17:09:37.837524
SN Ib,0.4729036796115305,0.18785057233105018,0.2444502341816458,bessellb,bessellv,131,97,21,97,21,131,24,2026-06-18T17:08:31.355850
SN Ib/c,0.7376036949924163,0.09883887384532267,0.2781686175419653,bessellb,bessellv,31,22,6,22,6,31,6,2026-06-18T15:01:59.638938
SN Ic,0.0009032727335780125,0.43152937961556265,0.22507321194821894,bessellb,bessellv,162,101,27,101,27,162,30,2026-06-18T15:22:46.019621
SN Ic-BL,0.7580487601727566,0.35479585976491945,0.16423478065252806,bessellb,bessellv,87,75,16,75,16,87,18,2026-06-18T15:24:43.779950
SN Ibn,2148.301676637474,-0.02773291964064411,0.0001277243310790933,bessellb,bessellv,3,1,1,1,1,3,2,2026-06-18T15:06:00.689673
SLSN (e),0.000696365994183102,0.018644776516118684,0.42463954248957203,ztfr,ztfi,43,7,5,7,5,44,12,2026-06-18T17:17:42.330969
SN Ib/c (e),0.488973316245231,0.2554591243195803,0.25012458233765755,bessellb,bessellv,507,315,75,315,75,507,98,2026-06-18T17:13:21.512516
SN Ia (w),0.0008847680987367087,-0.19420100985500788,0.3150598604180077,ztfr,ztfi,285,66,35,66,35,285,41,2026-06-18T20:29:27.998516
SN Ia-pec (w),0.0007763976384902698,-0.16663562788624792,0.32020755613903096,ztfr,ztfi,84,14,10,14,10,84,15,2026-06-18T20:35:31.737867
SLSN (w),0.0006618439983837325,0.09468689639843864,0.4122081828026164,ztfr,ztfi,142,32,18,32,18,143,35,2026-06-18T17:21:37.151136
SN II (w),1.9297467290022996,-0.19810746237374505,0.13939745523117764,bessellb,bessellv,1069,645,177,645,177,1069,214,2026-06-18T17:23:20.424525
SN Ib/c (w),0.5430767829804315,0.23568711119817248,0.25325310432256876,bessellb,bessellv,505,410,91,410,91,505,100,2026-06-18T19:29:45.519606
SN Ia (a),0.0009132169335521242,-0.18886060829506834,0.30953220816479354,ztfr,ztfi,406,85,48,85,48,406,63,2026-06-18T20:38:22.147199
SN CC (a),0.44453155868593175,-0.1173046250802458,0.2473843899594283,ztfr,ztfi,1701,1398,328,1398,328,1702,349,2026-06-19T04:46:29.494278
